Parameter,Object,Writable,Value,Value type
DeviceID.Manufacturer,false,false,"Huawei Technologies Co., Ltd.",xsd:string
DeviceID.OUI,false,false,00E0FC,xsd:string
DeviceID.ProductClass,false,false,HG8245H,xsd:string
DeviceID.SerialNumber,false,false,48575443A1000001,xsd:string
InternetGatewayDevice,true,false,,
InternetGatewayDevice.DeviceInfo,true,false,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,false,"Huawei Technologies Co., Ltd.",xsd:string
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,false,00E0FC,xsd:string
InternetGatewayDevice.DeviceInfo.ProductClass,false,false,HG8245H,xsd:string
InternetGatewayDevice.DeviceInfo.SerialNumber,false,false,48575443A1000001,xsd:string
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,false,V3R017C10S100,xsd:string
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,false,168D.A,xsd:string
InternetGatewayDevice.DeviceInfo.SpecVersion,false,false,1.0,xsd:string
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,true,,xsd:string
InternetGatewayDevice.DeviceInfo.UpTime,false,false,86400,xsd:unsignedInt
InternetGatewayDevice.DeviceInfo.Description,false,false,Huawei EchoLife HG8245H GPON ONT,xsd:string
InternetGatewayDevice.DeviceInfo.ModelName,false,false,HG8245H,xsd:string
InternetGatewayDevice.DeviceSummary,false,false,"InternetGatewayDevice:1.4[](Baseline:1,EthernetLAN:1,WiFiLAN:1,Time:1,IPPing:1)",xsd:string
InternetGatewayDevice.ManagementServer,true,false,,
InternetGatewayDevice.ManagementServer.URL,false,true,http://acs.example.com:7547/,xsd:string
InternetGatewayDevice.ManagementServer.Username,false,true,,xsd:string
InternetGatewayDevice.ManagementServer.Password,false,true,,xsd:string
InternetGatewayDevice.ManagementServer.PeriodicInformEnable,false,true,true,xsd:boolean
InternetGatewayDevice.ManagementServer.PeriodicInformInterval,false,true,300,xsd:unsignedInt
InternetGatewayDevice.ManagementServer.PeriodicInformTime,false,true,0001-01-01T00:00:00Z,xsd:dateTime
InternetGatewayDevice.ManagementServer.ConnectionRequestURL,false,false,http://192.168.1.1:7547/,xsd:string
InternetGatewayDevice.ManagementServer.ConnectionRequestUsername,false,true,,xsd:string
InternetGatewayDevice.ManagementServer.ConnectionRequestPassword,false,true,,xsd:string
InternetGatewayDevice.ManagementServer.ParameterKey,false,false,,xsd:string
InternetGatewayDevice.LANDevice,true,false,,
InternetGatewayDevice.LANDevice.1,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement,true,false,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MinAddress,false,true,192.168.1.100,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MaxAddress,false,true,192.168.1.200,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.SubnetMask,false,true,255.255.255.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPRouters,false,true,192.168.1.1,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DNSServers,false,true,8.8.8.8,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.SSID,false,true,Huawei-HG8245H-2G,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Channel,false,true,6,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BSSID,false,false,AA:BB:CC:00:00:01,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconType,false,true,11i,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Standard,false,false,n,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPAEncryptionModes,false,true,AESEncryption,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPAAuthenticationMode,false,true,PSKAuthentication,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1.KeyPassphrase,false,true,defaultpass2g,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.SSID,false,true,Huawei-HG8245H-5G,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.Channel,false,true,36,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.BSSID,false,false,AA:BB:CC:00:00:05,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.BeaconType,false,true,11i,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.Standard,false,false,ac,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.WPAEncryptionModes,false,true,AESEncryption,xsd:string
