Parameter,Object,Writable,Value,Value type
DeviceID.Manufacturer,false,false,Nokia,xsd:string
DeviceID.OUI,false,false,001E80,xsd:string
DeviceID.ProductClass,false,false,XS-2426G-A,xsd:string
DeviceID.SerialNumber,false,false,NOKIA6E000001,xsd:string
Device,true,false,,
Device.DeviceInfo,true,false,,
Device.DeviceInfo.Manufacturer,false,false,Nokia,xsd:string
Device.DeviceInfo.ManufacturerOUI,false,false,001E80,xsd:string
Device.DeviceInfo.ProductClass,false,false,XS-2426G-A,xsd:string
Device.DeviceInfo.SerialNumber,false,false,NOKIA6E000001,xsd:string
Device.DeviceInfo.SoftwareVersion,false,false,3FE49362IJHK29,xsd:string
Device.DeviceInfo.HardwareVersion,false,false,3FE48153CDAA01,xsd:string
Device.DeviceInfo.Description,false,false,Nokia XS-2426G-A XGS-PON WiFi 6E ONT,xsd:string
Device.DeviceInfo.ModelName,false,false,XS-2426G-A,xsd:string
Device.DeviceInfo.UpTime,false,false,86400,xsd:unsignedInt
Device.DeviceInfo.ProvisioningCode,false,true,,xsd:string
Device.ManagementServer,true,false,,
Device.ManagementServer.URL,false,true,http://acs.example.com:7547/,xsd:string
Device.ManagementServer.Username,false,true,,xsd:string
Device.ManagementServer.Password,false,true,,xsd:string
Device.ManagementServer.PeriodicInformEnable,false,true,true,xsd:boolean
Device.ManagementServer.PeriodicInformInterval,false,true,300,xsd:unsignedInt
Device.ManagementServer.PeriodicInformTime,false,true,0001-01-01T00:00:00Z,xsd:dateTime
Device.ManagementServer.ConnectionRequestURL,false,false,http://192.168.1.1:7547/,xsd:string
Device.ManagementServer.ConnectionRequestUsername,false,true,,xsd:string
Device.ManagementServer.ConnectionRequestPassword,false,true,,xsd:string
Device.ManagementServer.ParameterKey,false,false,,xsd:string
Device.WiFi,true,false,,
Device.WiFi.RadioNumberOfEntries,false,false,3,xsd:unsignedInt
Device.WiFi.SSIDNumberOfEntries,false,false,3,xsd:unsignedInt
Device.WiFi.AccessPointNumberOfEntries,false,false,3,xsd:unsignedInt
Device.WiFi.Radio,true,false,,
Device.WiFi.Radio.1,true,false,,
Device.WiFi.Radio.1.Enable,false,true,true,xsd:boolean
Device.WiFi.Radio.1.Status,false,false,Up,xsd:string
Device.WiFi.Radio.1.Name,false,false,radio_2g,xsd:string
Device.WiFi.Radio.1.OperatingFrequencyBand,false,false,2.4GHz,xsd:string
Device.WiFi.Radio.1.OperatingStandards,false,true,ax,xsd:string
Device.WiFi.Radio.1.Channel,false,true,6,xsd:unsignedInt
Device.WiFi.Radio.1.AutoChannelEnable,false,true,true,xsd:boolean
Device.WiFi.Radio.1.OperatingChannelBandwidth,false,true,40MHz,xsd:string
Device.WiFi.Radio.1.PossibleChannels,false,false,"1,2,3,4,5,6,7,8,9,10,11,12,13",xsd:string
Device.WiFi.Radio.1.MaxBitRate,false,false,574,xsd:unsignedInt
Device.WiFi.Radio.2,true,false,,
Device.WiFi.Radio.2.Enable,false,true,true,xsd:boolean
Device.WiFi.Radio.2.Status,false,false,Up,xsd:string
Device.WiFi.Radio.2.Name,false,false,radio_5g,xsd:string
Device.WiFi.Radio.2.OperatingFrequencyBand,false,false,5GHz,xsd:string
Device.WiFi.Radio.2.OperatingStandards,false,true,ax,xsd:string
Device.WiFi.Radio.2.Channel,false,true,36,xsd:unsignedInt
Device.WiFi.Radio.2.AutoChannelEnable,false,true,true,xsd:boolean
Device.WiFi.Radio.2.OperatingChannelBandwidth,false,true,80MHz,xsd:string
Device.WiFi.Radio.2.PossibleChannels,false,false,"36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,144,149,153,157,161,165",xsd:string
